,alias,username,bio,num_of_posts,followers,following,bio_url,isprivate,scraped
135,Soy ASMR,soy_asmr,Soy ASMR💕,855,16988,411,youtube.com/c/SoyASMR,False,2019-07-13 07:15:19
136,유민정,miniyuasmr,"ASMR 영상 만드는 미니유🌙
💌 비즈니스 Email
miniyuasmr@sandbox.co.kr",828,18886,31,www.youtube.com/user/miniyuasmr,True,2019-07-13 07:15:21
137,김연주,y.zzu,"▪️크리에이터 : asmr yeonchu 연츄
▪️연주가 운영하는 카페 : @cafe.dearmoon
▪️연주가 운영하는 마켓 : 연주네 집
▪️비즈니스문의 : DM & duswnk1002@naver.com
ㅤㅤ
🔻youtube link",250,11424,74,www.youtube.com/c/asmryeonchu,False,2019-07-13 07:15:23
138,은젤,eunbar,"Eunzel 은젤
Always looking for
Something new and interesting🙂
비즈니스💌DM",259,9469,67,www.youtube.com/eunbioh,False,2019-07-13 07:15:26
139,,April.ASMR,ON A BREAK.,207,413597,66,youtu.be/et8_7RfDXK4,False,2019-07-13 07:15:27
140,밤하느리 & 소녀의행성,minhwa.g,"미냐미냐😶
+
디엠은 안받습니당😁
이해부탁드려요🙆‍♀️
+
광고문의
girlsplanet_@naver.com",683,77919,91,www.youtube.com/channel/UC-IYpdOqjkER7B6cnChwlhA,False,2019-07-13 07:15:29
141,밥지,babzi_asmr,삶에 여유를 갖자.,95,15674,67,www.youtube.com/c/babzitv,False,2019-07-13 07:15:31
142,수제비ASMR,suzevi_asmr,⠀ 시나브로 유튜버⤵⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀,1717,1139,3,www.youtube.com/suzevi_asmr,False,2019-07-13 07:15:34
143,총몇명,chongmmyung,"유튜버 총몇명입니다. 비즈니스 문의는chongmmyung@sandbox.co.kr로 부탁드려요😊
P.s DM은 확인이 어려워요 죄송해용😅",74,51006,0,www.youtube.com/channel/UCRuSxVu4iqTK5kCh90ntAgA,False,2019-07-13 07:15:36
144,Josh // 🇬🇧 영국남자 조쉬 🇰🇷,koreanenglishman,"My name is Josh Carrott and I do YouTube with @olliekendal 🇬🇧🇰🇷 제 이름은 조쉬이고요, 저는 영국남자예요 🇰🇷🇬🇧",1066,322728,266,m.smartstore.naver.com/jollymarket,False,2019-07-13 07:15:38
145,koi,redhatsg,,11,2258,28,,False,2019-07-13 07:15:40
146,공두리,byungsinju,"⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀ 👇🏻공대생 유튜브👇🏻",3,839,19,www.youtube.com/channel/UChE5nZAIhWS5vYTRjsUgRpQ,False,2019-07-13 07:15:42
147,영알남,yan.youtube,"영어 알려주는 남자
영알남 채널은 유니버설 뮤직, 마이프로틴과 제휴합니다.
마이프로틴 사이트에서 영알남 구독자 전용 특별 할인코드(ENGSTUDY)를 입력하시면 더욱 저렴하게 이용하실 수 있습니다.
(영알남 유튜브 채널은 아래 링크로)",212,10232,97,www.youtube.com/channel/UCHpIHu4LzmNuD8bsE6mZLSA,False,2019-07-13 07:15:45
148,박막례 (72세) 🇰🇷,korea_grandma,"염병하네
1947년 2월 12일생",1262,320649,3,youtube.com/korea_grandma,False,2019-07-13 07:15:46
149,,hoo.4,,0,84,680,,True,2019-07-13 07:15:48
150,맛상무,matsangmu,굼금한음식? 맛상무에게 물어보세요,352,3398,9,m.ilyo.co.kr/?ac=article_view&entry_id=318444,False,2019-07-13 07:15:50
151,김수진 (셀프어쿠스틱),selfacoustic,"나,츄,까미,나르",428,6608,319,,False,2019-07-13 07:15:53
0,jay,jaykeeout,"my brand, @views__vibes",241,48971,340,youtube.com/jaykeeout,False,2019-07-13 07:33:10
1,데이브 (Dave),daebbuing,"유튜브/페북 - '데이브' ! Youtube 'The World of Dave' Or 'Dave' on FB [ @catsplusme , @worldofdavehighlights ]",1539,287031,958,www.youtube.com/davetehdave,False,2019-07-13 07:33:12
2,쁘띠허브,gjqm056,"안녕하세요 유튜브 활동하는 쁘허 입니다^ㅁ^
카스: https://story.kakao.com/ch/prettyherb
트위터: https://twitter.com/herb_o56
#쁘허 #쁘띠허브",942,127835,219,www.youtube.com/user/prettyherbart,False,2019-07-13 07:33:14
3,JK,jk_tv,"JK 인더 빌딩😎
'One in a billion'
-
Co-Founder of (주)파이브세컨즈
#코리안브로스ENT
#팀브라더스
#koreanbros
#야신야덕",224,14288,403,www.youtube.com/channel/UCIB_oNqi62rKnPFb3Toaozw,False,2019-07-13 07:33:16
4,다다리빙 DADA Living,dada_living,"#다다리빙 #리빙
🔽구매좌표 보러가기🔽 영상 속 정보확인🔍",571,23758,6,www.youtube.com/c/DADALiving,False,2019-07-13 07:33:18
5,공대생가족,gdsfamily4,안녕하세요 공대생네 가족입니다,164,35389,187,,False,2019-07-13 07:33:20
6,[RIPPLE]리플 공식 계정,official_ripple,"#ripple 의 #감성스타그램 을 즐겨 보아랏🌟
👇🏻리플x케미샵의 두번째 콜라보레이션!👇🏻",50,24959,16,bit.ly/2VANbh2,False,2019-07-13 07:33:21
7,양띵,yd0821,"제휴/문의 : yd@ydcrew.co.kr
⬇️ 크리에이티브스테이츠 (유튜브교육)",843,198053,156,creativestates.io,False,2019-07-13 07:33:23
8,비디오빌리지 공식 계정,videovillage_official,▼프로 유튜바 되고 싶다면▼,726,31673,3908,younglab.samsungcard.com/event/UYLBFL0110M0.jsp?yevntSn=1339&cmpid=YL_marketer9_VVinst_190709,False,2019-07-13 07:33:25
9,빅민,bigmintv,심심할땐 빅민유튜브,391,56412,81,youtube.com/chbigmin,False,2019-07-13 07:33:27
10,,zzang9daddy,".
.
📬contact_zzang9@naver.com",330,34075,29,,False,2019-07-13 07:33:28
11,쩡대 (정대현),xx_jdh,"#쩡대 #패션 #fashion #model
🤹 광고&섭외 DM
🕴 188 / 78 / 서울
🛍 네이버 ' 쩡대샵 '
🕹 유튜브 ' 쩡대TV '
📱 페이스북 ' 쩡대쩡대 '
💻 아프리카TV ' BJ쩡대 '
▼ 쩡대 유튜브 바로가기 ▼",96,16892,163,www.youtube.com/channel/UCexnMWt_GyyAIkLCn7x36nw?view_as=subscriber,False,2019-07-13 07:33:30
12,최겨울 '830,wt830,"🎈+82
🎈contact : winter830@naver.com",353,55187,315,,False,2019-07-13 07:33:32
13,유투버 CLASSSY,classsytv,"20만 구독자의 젠틀맨 유투버입니다. 클래씨한 신사가 되는법! 구독해주세요 :)🔻
How To Be A Classsy Gentleman! Plz Subscribe my Youtube :)🔻",525,5187,2067,youtu.be/dgcyIjWGHMA,False,2019-07-13 07:33:34
14,와디,wadism,와디의 신발장 주인,4478,23685,684,youtu.be/994V0LwFb6w,False,2019-07-13 07:33:36
15,코비진스,kobejeans,"신발입문 28년차 아재.
유튜버
리뷰어
감정사
강사
아빠...",355,2088,150,www.youtube.com/channel/UC3l1qgrRx8vPan82wDc3kNg?app=desktop,False,2019-07-13 07:33:38
16,TAGGER,tagger.official,👇🏼original contents webzine youtube ch.,250,377,42,goo.gl/FtHqYN,False,2019-07-13 07:33:40
17,,hae.um,@haeum_official,199,11925,206,,False,2019-07-13 07:33:41
18,한별 Hanbyul,its.hanbyul,BE ROMANTIC 🌹,108,49097,74,youtu.be/5e3kEeC2vhE,False,2019-07-13 07:33:43
19,KAYA,__kindacool,kinda cool™ • Send me your love 💌 via kindacool.made@gmail.com,771,127515,302,youtu.be/GGo2Nwp9aiI,False,2019-07-13 07:33:45
20,Jina Kim • 김지나,itsjinakim,"🌐I do what I love
📩 Business: itsjinakim@gmail.com
나의 생각과 느낌을 영상으로 풀어내는 걸 좋아해요.
New video ⬇️",1525,23968,1334,youtu.be/gevmkqSgpFM,False,2019-07-13 07:33:46
21,패션 크리에이터 류경아 : 류스펜나,cornu_ryu,"삶을 여행하는 #패션크리에이터
👾 Fashion & Daily YOUTUBER 👾 ENG SUB OK",596,41197,300,goo.gl/sNCHrP,False,2019-07-13 07:33:47
22,박민정,votrechaleur,Contents Creator,372,54772,329,youtu.be/1Arwc2MUYBQ,False,2019-07-13 07:33:49
23,김영화 [김무비 KIM MOVIE],yyyyyyyyyyhk,youtube 김무비📸,471,64221,493,youtu.be/BuSQVR9unWU,False,2019-07-13 07:33:50
24,도영도영이🍦,doyeong__2,Business mail : doyeong222@naver.com,470,36704,101,youtu.be/DkzUH7a1qag,False,2019-07-13 07:33:52
25,조수잔입니다. (•̥̑.̮•̥̑),susansan0414,"ᔕᑌᔕᗩᑎ 🎐
휴대용 CDP 꾸미기⇩",557,45204,909,youtu.be/XjEwyc49JKs,False,2019-07-13 07:33:54
26,패션유튜버 Minni (Fashion&Daily),minni__world,"🔹Youtube : 미니월드
🔹Videovillage Creator
🔹KHU Business Management
.",395,14430,198,,False,2019-07-13 07:33:55
27,JAELIM 💘,jaelimize,"✨패션유튜브 재리마이즈✨
✨의류 쇼핑몰 제이엘로✨",1348,11844,246,jayello.com,False,2019-07-13 07:33:56
28,썸데이모어 somedaymore,oe_day,"▫️youtube : 뀨우
▫️shop : 썸데이모어
모든 상품문의는 Q&A게시판으로 부탁드려요☺️",154,35465,63,www.somedaymore.co.kr,False,2019-07-13 07:33:58
29,,fairy_tina_,"Who cares, baby
🌷Ewha W.Univ：Business and English
🌷English Mentor ✉️수업 문의 DM
🌷Podcast：지지익선
🌷YouTube：Fairy Tina
🎬현직 아나운서에게 코디받기👇",577,10833,298,youtu.be/M82Oh28PsNo,False,2019-07-13 07:34:00
30,J.Fla,jfla,"Singer/Songwriter, YouTuber",209,679866,0,youtube.com/jflamusic,False,2019-07-13 07:34:02
31,창현거리노래방 & 쏭카페,ssong.cafe,놀지마 달려달려,438,51312,70,,False,2019-07-13 07:34:03
32,Raon Lee,raon_lee,""" Korean, Music Creator🎤 ""
Every Friday, New video! Subscribe ❤
매주 금요일 새영상 업로드 🎵
Instagram :: @raon_lee
Twitter :: @ raon_leee
.
☟라온 공식굿즈 링크☟",817,413194,47,bit.ly/2Oqp7hs,False,2019-07-13 07:34:04
33,새송 Saesong,songree1,,16,86923,12,youtube.com/channel/UCyvqwwpQYUHfQhm6g4UHRsQ,False,2019-07-13 07:34:06
34,버블디아,bubbledia9273,"음악이 주는 행복 🎧
비지니스 메일은 📩 bubbledia@naver.com
(DM 은 확인하지않습니다~^^)",992,37299,133,youtu.be/MT8G-z-91eg,False,2019-07-13 07:34:08
35,Dj Soda Official 🇰🇷,deejaysoda,Follow Spotify💚 for new songs🎶,2483,3220987,813,open.spotify.com/album/3BNAdVavbPC0GwmVkkPU4C,False,2019-07-13 07:34:09
36,제니윤(Jenny Yun),vnjenny7,"Violinist🎻
제니윤바이올린학원🎶💕
제니뮤직🎹🎼",1395,21375,370,www.youtube.com/vnjenny7,False,2019-07-13 07:34:11
37,Elise 🐻,itselisebear,"Taiwanese American. My last name means bear lol hence the 🐻 :)
I like kpop and fashion & I like to sing n stuff on YT 🤓",384,26356,351,www.youtube.com/user/silv3rt3ar,False,2019-07-13 07:34:15
38,✨Karimova Elina_엘리나✨,elina_4_22,"Business - elina0422@gmail.com | @elina_2_2
Born in Uzbekistan🇺🇿, Live in South Korea🇰🇷(서울에 살아요)",186,782467,40,youtu.be/xPedhFsxi28,False,2019-07-13 07:34:17
39,Dragon Stone,dragon_stone11,"Singer-songwriter , YouTuber
YouTube ⬇️ // Available on (Spotify , iTunes)",111,56943,0,bit.do/drgst,False,2019-07-13 07:34:19
40,Jeffrey Lau,funguypiano,"Hobbyist Pianist From Hong Kongヽ(•̀ω•́ )ゝ
My Story·Patreon·YouTube·Spotify·Sheet Music (^o^) ۶↓",153,20475,227,linktr.ee/funguypiano,False,2019-07-13 07:34:20
41,문에스더 츄더 Chuther / Esther Moon,chuther_moon,요기요기 링크에서 츄더츄더 영상영상 봐주봐주세욜 ✧ฺ･｡(✪▽✪*)･｡✧,150,26454,146,bit.ly/309WZ3N,False,2019-07-13 07:34:22
0,예능인최군,koon1716,개그맨 bj 유튜버 최군,1040,18834,0,www.youtube.com/user/chKoonTV,False,2019-07-13 07:34:54
1,순이,h_ue_,,141,160048,107,www.youtube.com/channel/UC24ZdEFJvYvQwqnWJodWzng,False,2019-07-13 07:34:56
2,Bella&Lucas,bellawithlucas,1Piano 2People 4Hands [DUET PIANO],87,8126,2,www.youtube.com/user/kimdonghyun3013,False,2019-07-13 07:34:58
3,Michael Elliott,englishinkorean,"CalArts grad living in Seoul. One of the top ten podcasters in South Korea. YouTuber, singer-songwriter, columnist at Joongang Ilbo",190,14693,1918,www.youtube.com/englishinkorean,False,2019-07-13 07:35:01
4,강은아,silv2a,"rkddmsdk10@nate.com
Youtube>>Euna강은아
쏭카페라이브공연&유튜브방송시간은
유튜브 커뮤니티를 참고해주세요
❤👇유튜브바로가기👇❤",115,20326,241,bit.ly/2PtDrm3,False,2019-07-13 07:35:03
5,권유경 🇰🇷🇻🇳,kkssd1121,"Contact 문의 • DM 또는 메일로 연락주시면 감사드리겠습니다 🙇‍♀️❤
Tiktok • 이상한 권유경
youtube • 이상한 나라의 꿩유갱
soundCloud • 권유경",77,8422,329,bit.ly/2Fm6e8N,False,2019-07-13 07:35:05
6,tae,horseking123,hello #말왕 #유튜버,216,22517,663,,False,2019-07-13 07:35:07
7,석꾸축꾸,seokgguchookggu,,13,783,15,,False,2019-07-13 07:35:10
8,피지컬갤러리,health__keeper,"스!스!로! 가능한 재활운동
빡빡이아저씨의 체형교정 루틴
이거 정말좋아 정말좋아👍🏻",7,3432,2310,bit.ly/physicalgallery,False,2019-07-13 07:35:11
9,조제알통 광고/촬영문의DM 협찬❌,jojae____altong,"📝네추럴인증서보유
🏆2019 미스터울산 피지크🥇
🏆2019 FITNESSSTSTAR 피지크🥇
🏆2019 NICAKOREA 보디빌딩-65🥇
🏆2019 NICAKOREA피지크🥇
🏆2019 IFS FITMODEL🥇
🎥ʏᴏᴜᴛᴜʙᴇ조제알통180K
#존나네추럴
⬇️미트리56%",1196,42499,1157,metree.co.kr/index/index.php?sponsor=100099591,False,2019-07-13 07:35:13
10,🙏,gamst0108,,0,34,0,,False,2019-07-13 07:35:14
11,MAXTRONG/gym wear brand,maxtrong_kiho,"유튜브 👉 키다리형 검색
마이프로틴 최종결제란에 할인코드
tallguy 입력시 추가할인
회원가입시 추천인 8BRF-R1
마이프로틴 추가할인 링크👇",865,7254,60,bit.ly/Tallguy,False,2019-07-13 07:35:16
12,슬림앤파워 대표 리쌤 (바벨라토르),coach_leesam,"🇰🇷 수술대에서 아시아챔피언이 되기까지..
🏆 세계 기네스 보유자
🗣""당신도 할 수있습니다.""
🔝#다이어트 #감동실화
👉 @slimnpower
#리쌤철봉 직접제작#치닝디핑 #가정용철봉
👉 @barbellator_official
⬇️Youtube",685,18896,4676,goo.gl/jXRfqG,False,2019-07-13 07:35:18
13,거제폭격기(김영환),djgreat77,"아프리카tv BJ거제폭격기 (스포츠)
유튜브 거제폭격기 광고문의 카톡djgreat7",120,36905,1937,www.youtube.com/channel/UC9rpMzC-SjMSrxhQElZDzTw,False,2019-07-13 07:35:20
14,심짱골프,simzzangolf,"골프를 더욱 더 즐겁게! 심짱입니다
길가다 보면 사진 같이 찍어요^^
DM 읽지 않습니다. 문의는 심짱닷컴",264,8257,9,www.simzzang.com,False,2019-07-13 07:35:23
15,박지은JJ,jjeuneu,"👑Salon De Fit 대표
👑(주)SDF CEO
전혀다른 여자운동! jjeuneu카톡
#블로그 : 제이제이 다이어트
#유튜브: 살롱드핏 제이제이
🏋🏻여자 홈트도구는 “VEEK”
🏋🏻”VEEK 힙딥밴드”
🍰 식단은 #프로틴쉬폰
📲댕댕계정 @golden.pudding",2355,95891,74,www.proteinchiffon.com,False,2019-07-13 07:35:24
16,Euddeum shim,euddeume_,"Pilates Instructor / Youtube creator
DM📩 only business contact (질문 안 받아요🙅🏼‍♀️)
Youtube link ㄱ",898,267480,195,youtu.be/o7gyOa_8ct4,False,2019-07-13 07:35:28
17,Ko Hyojoo,hyo_joo,고효주 高孝周 | @hyojooslife | Longboard | Rollerskate | rgsg.hyojoo@gmail.com,232,565484,370,www.youtube.com/hyojooko,False,2019-07-13 07:35:30
18,Lovely swimmer 이현진,lovelyswimmer,"- 🇰🇷Youtube creator 👋🏻
- @TeamLUS Coach 🏊🏻‍♀️
- Gopro Ambassador 💙
- Nike swim Ambassador💛
- F - team (Funkita)
- Waterpolo player 🤽🏻‍♀️🇰🇷",717,34576,113,www.youtube.com/c/LEESUMMER,False,2019-07-13 07:35:33
19,"스미홈트 ""스스로 미(美)를 가꾸어라""",smitruti1010,"아들둘키우며 막내딸 가슴에품고 운동하는 엄마💕스미
🍴스미식단👉🏼@smitruti_food
🛒스미마켓👉🏼@smi_market
👖레깅스👉🏼 @redboutique_kr
🍀네이버 카페👉🏼""스미어터”
👇🏼SRB 세안제 Open👇🏼",2923,364691,131,smartstore.naver.com/smimarket/products/4352429774,False,2019-07-13 07:35:35
20,4호선휴학생 & 씬스틸러,hyeriss22,문의는 DM❗️,15,3917,1,youtu.be/-ZybpucZDcw,False,2019-07-13 07:35:37
21,무나홈트😘,xxdmsdudxx,"#네이버뷰스타
#필라테스
#무나홈트
❤무나홈트❤
유튜브 구독구독🙆🤗😘
❤️클래스101❤️
온라인 수업x필라테스4주몸만들기👇
http://bit.ly/2Ka11B4",356,3370,85,www.youtube.com/channel/UCMA_DTVCzlALpD8hfGmYAlg,False,2019-07-13 07:35:39
22,김뽀마미 김뽀홈트 김이경,kimbbomami,"김뽀마미 악마의전신운동 저자
🔶홈트레이닝강사🔶️
필라테스 요가 타바타 MMA 자격증 보유
유튜브👉김뽀홈트 검색
운동시켜주는라이브방송
밤11시주3회 재능기부
📧2024000@naver.com
🔽네이버TV 바로가기🔽",3927,129572,61,m.tv.naver.com/kimbbomami/home,False,2019-07-13 07:35:42
23,옐라 다이어트,ye_.lla,다이어트 유튜버 옐라yella,113,3690,94,,False,2019-07-13 07:35:44
0,이경준,_juuuuuuun_s,"🇰🇷.Fine Art.20
협찬/촬영문의 DM
artwork account 👉 @gangartjun",129,44759,607,www.ioniqrun.com/webtoon/?tab=2,False,2019-07-13 06:06:13
1,윤,un._gh,문의 DM,170,303756,35,youtu.be/2W1gv7ewlhw,False,2019-07-13 06:06:15
2,"성무, 이 (무진메이드)",smxmu,"#무진메이드 #makeup
Youtube🎦 ‘무진메이드’
MTPR x BTS 방탄소년단 렌즈 메이크업
🔽방탄소년단 렌즈 착용하고 아이돌 메컵하기🔽",199,64321,257,youtu.be/vR4RdcqECcc,False,2019-07-13 06:06:17
3,🇰🇷ki_Hᴏᴏɴ,bee_hoons,"촬영, 모든문의 DM",434,107556,1616,,False,2019-07-13 06:06:19
4,이여준,yeojun__,,84,55523,68,,False,2019-07-13 06:06:22
5,조영근,cho8705,라이프스타일 패션블로그,1327,53108,488,Blog.naver.com/alclstjwns,False,2019-07-13 06:06:24
6,서유성 (yu seong Seo),s_y_ddong,"한림예고 패션모델과🇰🇷
YG_K+ Model
🇰🇷SBS 2017 Super model
-Contact DM-",82,57540,168,,False,2019-07-13 06:06:26
7,,jae_ming1028,🎙🎹🎤🎶🎵,570,40531,162,,False,2019-07-13 06:06:28
8,윤병연,byyyyeon,,125,210613,116,,False,2019-07-13 06:06:30
9,최우진,byeolha_1212,모든 문의 DM 주세요 (੭>▿<)੭⁾⁾,158,88235,135,vt.tiktok.com/JMW52h,False,2019-07-13 06:06:32
10,안은우,euneeew,Black sorbet ice cream review 🖤,1073,137994,297,youtu.be/qQCOkvzvx2s,False,2019-07-13 06:06:34
11,백지민🇰🇷(Baek Jimin),b_12.25,"Only Insta and Facebook 모든 문의 DM📩
유튜버",202,185234,359,www.youtube.com/channel/UCAs19lA-BzBLgOm1fDeT4_g,False,2019-07-13 06:06:36
12,유인준,rural_jun,"(26) 요리하는 농부 👨🏻‍🌾
Model & actor
contact DM / e mail
#Beauty , #food , #fashion",243,31240,341,,False,2019-07-13 06:06:38
13,재협 (Jae Hyup),jae_hyupp,"Fashion Model, Blogger
DM 📩",633,212174,645,blog.naver.com/jaehyupp,False,2019-07-13 06:06:41
14,이동훈(24),babyho0n,인스타그램 외 SNS 데이팅어플 안해요,151,84040,42,,False,2019-07-13 06:06:43
15,BART FAFA,______toddy,,1579,73089,715,www.youtube.com/channel/UCT0fI3h6aEP-c3wkpxpmZGw,False,2019-07-13 06:06:45
16,Kim Nam Woo,0__0man,광고문의는 DM📩,847,217262,217,youtu.be/T8D5TrHkam8,False,2019-07-13 06:06:47
17,형준,joonne2,Seoul,307,75367,143,,False,2019-07-13 06:06:48
18,김성환(서하),hsoun9,"21살
짐살라빔🎡
페북 인스타 외 모두 도용!!",147,244508,240,,False,2019-07-13 06:06:51
19,김호용,hoyoooong,🥶,235,89347,232,blog.naver.com/mnsr1,False,2019-07-13 06:06:53
20,원빈,wonbin00m,"20살 / 문의dm
과도기",40,64778,59,,False,2019-07-13 06:06:55
21,🇰🇷 이영웅 (21),yeon_gung,모든 문의는 DM,73,31290,106,likey.to/yeon_gung,False,2019-07-13 06:06:56
22,김민석,mseoka,민석이..하고 싶은..거 다 하면 큰일나..,19,27945,251,,False,2019-07-13 06:06:58
23,이예진,y_outhfit,,168,70135,110,www.ioniqrun.com/webtoon/?tab=2,False,2019-07-13 06:07:00
24,🇰🇷 문 예찬,o728_,모든 문의는 DM 주세요🙇🏻‍♂️,191,53861,106,,False,2019-07-13 06:07:03
25,황호성,hosungism,I can drink a gallon of milk in 10 seconds,291,85544,166,,False,2019-07-13 06:07:05
26,김건호,i.hate.cucumber,"🌺@4321kg ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ business=DM📩 ⠀ ⠀ ⠀ ⠀ ⠀⠀⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀
(촬영,광고,영상편집,외주 문의 DM) ⠀ ⠀ ⠀ ⠀ ⠀ ⠀",804,196098,263,www.youtube.com/channel/UCcLUBNBlXYL2B7tclSdWA8w,False,2019-07-13 06:07:07
27,장경석 (23) 02.20,gang.duk,"문의=DM
""갱덕gangduk"" youtube channel",270,153003,167,youtu.be/NgfIjlXYChk,False,2019-07-13 06:07:09
28,박대환 (daehwan Park) 8.28,d.hwan_92,"대니TV DANITV Youtube
TheGroove Company 소속
👇🏻",481,182249,280,youtu.be/GyaDqxGjkIA,False,2019-07-13 06:07:10
29,홍정빈(Hong jung bean),2jb_jb,"태도가 전부이고 습관이 곧 삶이다.
MY YOUTUBE CHANNEL (BBQ닭다리반반)
정비닝TV 구독 부탁해요 :)
Please subscribe to my YouTube channel :)",346,109644,328,youtu.be/24KLi59uf7g,False,2019-07-13 06:07:12
30,송찬호(Chanoopy) 🇰🇷,chanoopy_,🌕🌖🌗🌘🌑🌒🌓🌔 Contact DM,153,42890,428,,False,2019-07-13 06:07:14
31,우인,__w_ing__,"인스타.페이스북 외 SNS❌
내가 원하는게 아닌 바쁜 삶🐒",94,64323,170,,False,2019-07-13 06:07:17
32,서재민 / SEO JAE-MIN,117.18,"🎼ᴅᴀɴᴄᴇʀ ᴏғ ᴏᴠᴇʀғᴀᴛᴇ
🎼ᴅᴀɴᴄᴇʀ ᴏғ ᴀʙ ᴘʀᴏᴊᴇᴄᴛ
☁︎ յαn 17, 2001 ☁︎
☾ ғᴏʟʟᴏᴡ ᴍᴇ ☾
🍯ᴊᴀᴍɴɪ ɪɴsᴛᴀɢʀᴀᴍ🍯
ʀ=ᴠᴅ 우주 최강 제일가는 멋쟁이되기.",194,50179,81,www.youtube.com/channel/UC_WZPFMMEtvzPtCmWMPt79g,False,2019-07-13 06:07:19
33,배장아 (Bae JangAh),peizhangwo,"~ 7/13 🇻🇳
🇰🇷
Contact : DM📩",528,72270,174,,False,2019-07-13 06:07:21
34,김훈 kim hoon 金勋勋,hoon.xun,@hoon.jx 🇰🇷,152,280358,54,www.youtube.com/channel/UClL1bjILlheBuaaPQsr83BQ,False,2019-07-13 06:07:22
